,factors,cv_score,cv_score_std
2515,"['c12_sc', 'c44_fcc', 'unstable_stack_energy_fcc']",-222.20361118053057,262.0123568564859
2716,"['c44_fcc', 'unstable_stack_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc']",-222.21242787190099,265.85690221390445
2214,"['c11_sc', 'c44_sc', 'vacancy_migration_energy_fcc']",-222.4251434670433,263.6745365544198
2697,"['c44_fcc', 'surface_energy_100_fcc', 'unstable_stack_energy_fcc']",-222.48030656461862,272.7501315062941
2720,"['c44_fcc', 'unstable_stack_energy_fcc', 'relaxation_volume_fcc']",-222.61850275407306,258.85136527010434
1739,"['bulk_modulus_sc', 'c44_fcc', 'unstable_stack_energy_fcc']",-222.63780615804467,264.6212417011145
910,"['lattice_constant_fcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-222.67772833862904,270.4011375130995
1394,"['bulk_modulus_bcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-222.7571838858754,281.8004661274014
2344,"['c12_bcc', 'cohesive_energy_fcc', 'vacancy_migration_energy_fcc']",-222.77683308903354,286.9494334412634
1175,"['lattice_constant_sc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-222.82429271195483,278.3666056120119
1100,"['lattice_constant_sc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-222.87042455122688,288.3707489880601
2950,"['unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc', 'relaxation_volume_fcc']",-223.05483258475462,271.0346410936897
2479,"['c12_fcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-223.07189874501597,278.9388401440337
1025,"['lattice_constant_sc', 'c11_fcc', 'vacancy_migration_energy_fcc']",-223.11345007457393,283.02558923291025
1123,"['lattice_constant_sc', 'c44_sc', 'vacancy_migration_energy_fcc']",-223.34876376788083,279.23942331161663
2942,"['unstable_stack_energy_slip_fraction_fcc', 'relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-223.42501211289706,277.1052479427336
2923,"['extr_stack_fault_energy_fcc', 'unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc']",-223.45390348873016,281.38815132603065
2627,"['c44_bcc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-223.5551416694417,288.17227616463424
1549,"['bulk_modulus_fcc', 'c44_fcc', 'unstable_stack_energy_fcc']",-223.58795602054408,263.22405480063355
2689,"['c44_fcc', 'thermal_expansion_coeff_fcc', 'unstable_stack_energy_fcc']",-223.63854889925304,266.4313245302382
2748,"['c44_sc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-223.69281822904108,281.428112010045
2233,"['c11_sc', 'thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-223.71141305422057,262.9226331031273
2268,"['c11_sc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-223.73020456764235,265.2212141523569
1042,"['lattice_constant_sc', 'c11_sc', 'vacancy_migration_energy_fcc']",-223.77366056072438,269.494849332502
196,"['c11_fcc', 'vacancy_migration_energy_fcc']",-223.8746958625551,286.24500443789447
2657,"['c44_bcc', 'unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc']",-223.8764285523159,283.7324479822858
2374,"['c12_bcc', 'extr_stack_fault_energy_fcc', 'vacancy_migration_energy_fcc']",-223.90311338045777,286.8778095647919
2493,"['c12_fcc', 'unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-224.0063386035489,280.6767901596992
313,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc']",-224.2297847512053,281.55844255432885
346,"['relaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc']",-224.26907326557753,270.5877029205256
2424,"['c12_fcc', 'c44_fcc', 'unstable_stack_energy_fcc']",-224.30376288292788,263.33742955492147
2199,"['c11_sc', 'c44_fcc', 'unstable_stack_energy_fcc']",-224.40794062419022,258.9422051388078
1731,"['bulk_modulus_sc', 'c44_bcc', 'vacancy_migration_energy_fcc']",-224.43682950285,278.756157078145
