,factors,r2_cv_score,rmse_cv_score
2458,"['c11_bcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7103884789374406,-317.55553180739514
939,"['unstable_stack_energy_slip_fraction_fcc', 'ideal_surface_energy_100_fcc', 'vacancy_migration_energy_fcc']",0.7103066052753667,-305.623042779416
1205,"['unstable_stack_energy_slip_fraction_fcc', 'vacancy_migration_energy_fcc', 'c44_sc']",0.7101444990886902,-324.9716025105342
3239,"['intr_stack_fault_energy_fcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",0.7098236316463303,-317.9630452125375
2710,"['unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc', 'c44_sc']",0.7097790970105372,-315.0197227754897
3098,"['unstable_twinning_energy_fcc', 'c44_fcc', 'cohesive_energy_fcc']",0.7096830493082122,-317.3116789941667
3330,"['intr_stack_fault_energy_fcc', 'bulk_modulus_sc', 'vacancy_migration_energy_fcc']",0.7088583338550793,-321.5052591163006
2124,"['ideal_surface_energy_100_fcc', 'c44_fcc', 'vacancy_migration_energy_fcc']",0.7088384568052181,-310.68775096304745
4411,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'lattice_constant_sc']",0.7086384370155067,-311.1641708863101
2464,"['c11_bcc', 'vacancy_migration_energy_fcc', 'bulk_modulus_bcc']",0.7086144855931811,-317.844581309741
4322,"['thermal_expansion_coeff_fcc', 'vacancy_migration_energy_fcc', 'lattice_constant_sc']",0.7085837411695611,-319.4847283496742
2711,"['unrelaxed_formation_potential_energy_fcc', 'vacancy_migration_energy_fcc', 'c11_sc']",0.7085805985167818,-314.48254281658274
4423,"['vacancy_migration_energy_fcc', 'c11_sc', 'relaxed_formation_potential_energy_fcc']",0.7084548305555362,-312.80937572550795
4412,"['vacancy_migration_energy_fcc', 'extr_stack_fault_energy_fcc', 'bulk_modulus_bcc']",0.7078803546470315,-314.0484349982864
4435,"['vacancy_migration_energy_fcc', 'lattice_constant_diamond', 'relaxed_formation_potential_energy_fcc']",0.7077581585811258,-314.22022539794375
